schedule_month,region_name,commissioner_name,monthly_ud_as_delivered,monthly_uo_as_delivered,urgent_forms,any_band_unique_patients_rolling_12_month,band_1_unique_patients_rolling_12_month,band_2_or_3_unique_patients_rolling_12_month,urgent_band_1_unique_patients_rolling_12_month,other_unique_patients_rolling_12_month
2016-05-01T00:00:00Z,East of England,Hertfordshire and West Essex ICB,150650.6,NA,5993,NA,NA,NA,NA,NA
2016-05-01T00:00:00Z,East of England,Mid and South Essex ICB,139703,NA,5445,NA,NA,NA,NA,NA
2016-05-01T00:00:00Z,East of England,Norfolk and Waveney ICB,125077.4,NA,6057,NA,NA,NA,NA,NA
2016-05-01T00:00:00Z,East of England,Suffolk and North East Essex ICB,105285.4,NA,4573,NA,NA,NA,NA,NA
2016-05-01T00:00:00Z,London,North Central London ICB,144462.8,NA,6611,NA,NA,NA,NA,NA
2016-05-01T00:00:00Z,London,North East London ICB,179889.2,NA,7644,NA,NA,NA,NA,NA
2016-05-01T00:00:00Z,London,North West London ICB,225559.4,NA,9661,NA,NA,NA,NA,NA
2016-05-01T00:00:00Z,London,South East London ICB,185942.4,NA,7341,NA,NA,NA,NA,NA
2016-05-01T00:00:00Z,London,South West London ICB,138821.4,NA,6030,NA,NA,NA,NA,NA
2016-05-01T00:00:00Z,Midlands,Birmingham and Solihull ICB,149947.6,NA,5343,NA,NA,NA,NA,NA
2016-05-01T00:00:00Z,Midlands,Black Country ICB,149211.4,NA,4965,NA,NA,NA,NA,NA
2016-05-01T00:00:00Z,Midlands,Coventry and Warwickshire ICB,103615.8,NA,2797,NA,NA,NA,NA,NA
2016-05-01T00:00:00Z,Midlands,Derby and Derbyshire ICB,116474.2,NA,3820,NA,NA,NA,NA,NA
2016-05-01T00:00:00Z,Midlands,Herefordshire and Worcestershire ICB,78930.4,NA,2488,NA,NA,NA,NA,NA
2016-05-01T00:00:00Z,Midlands,"Leicester, Leicestershire and Rutland ICB",107893.6,NA,3809,NA,NA,NA,NA,NA
2016-05-01T00:00:00Z,Midlands,Lincolnshire ICB,80236.4,NA,3038,NA,NA,NA,NA,NA
2016-05-01T00:00:00Z,Midlands,Northamptonshire ICB,72327.4,NA,3553,NA,NA,NA,NA,NA
2016-05-01T00:00:00Z,Midlands,Nottingham and Nottinghamshire ICB,131406.8,NA,4103,NA,NA,NA,NA,NA
2016-05-01T00:00:00Z,Midlands,"Shropshire, Telford and Wrekin ICB",50347.4,NA,1914,NA,NA,NA,NA,NA
2016-05-01T00:00:00Z,Midlands,Staffordshire and Stoke-on-Trent ICB,131520.8,NA,3692,NA,NA,NA,NA,NA
2016-05-01T00:00:00Z,North East and Yorkshire,Humber and North Yorkshire ICB,198791.2,NA,7803,NA,NA,NA,NA,NA
2016-05-01T00:00:00Z,North East and Yorkshire,North East and North Cumbria ICB,384355.2,NA,15158,NA,NA,NA,NA,NA
2016-05-01T00:00:00Z,North East and Yorkshire,South Yorkshire ICB,190521.6,NA,7182,NA,NA,NA,NA,NA
2016-05-01T00:00:00Z,North East and Yorkshire,West Yorkshire ICB,283646.4,NA,10308,NA,NA,NA,NA,NA
2016-05-01T00:00:00Z,North West,Cheshire and Merseyside ICB,327846.8,NA,15654,NA,NA,NA,NA,NA
2016-05-01T00:00:00Z,North West,Greater Manchester ICB,364813.4,NA,17360,NA,NA,NA,NA,NA
2016-05-01T00:00:00Z,North West,Lancashire and South Cumbria ICB,176349,NA,7627,NA,NA,NA,NA,NA
2016-05-01T00:00:00Z,South East,"Buckinghamshire, Oxfordshire and Berkshire West ICB",159003.6,NA,7770,NA,NA,NA,NA,NA
2016-05-01T00:00:00Z,South East,Frimley ICB,74552.2,NA,3506,NA,NA,NA,NA,NA
2016-05-01T00:00:00Z,South East,Hampshire and Isle Of Wight ICB,181997.8,NA,8846,NA,NA,NA,NA,NA
2016-05-01T00:00:00Z,South East,Kent And Medway ICB,180090.8,NA,10284,NA,NA,NA,NA,NA
2016-05-01T00:00:00Z,South East,Surrey Heartlands ICB,84112.4,NA,3508,NA,NA,NA,NA,NA
2016-05-01T00:00:00Z,South East,Sussex ICB,187127.6,NA,8927,NA,NA,NA,NA,NA
2016-05-01T00:00:00Z,South West,"Bath and North East Somerset, Swindon And Wiltshire ICB",82679.2,NA,3129,NA,NA,NA,NA,NA
2016-05-01T00:00:00Z,South West,"Bristol, North Somerset and South Gloucestershire ICB",108919.8,NA,4091,NA,NA,NA,NA,NA
2016-05-01T00:00:00Z,South West,Cornwall and the Isles Of Scilly ICB,60975,NA,3635,NA,NA,NA,NA,NA
2016-05-01T00:00:00Z,South West,Devon ICB,136525,NA,6064,NA,NA,NA,NA,NA
2016-05-01T00:00:00Z,South West,Dorset ICB,92523.4,NA,3904,NA,NA,NA,NA,NA
2016-05-01T00:00:00Z,South West,Gloucestershire ICB,53816.6,NA,1998,NA,NA,NA,NA,NA
2016-05-01T00:00:00Z,South West,Somerset ICB,68940,NA,2859,NA,NA,NA,NA,NA
2016-06-01T00:00:00Z,East of England,"Bedfordshire, Luton and Milton Keynes ICB",91594,NA,3361,NA,NA,NA,NA,NA
2016-06-01T00:00:00Z,East of England,Cambridgeshire and Peterborough ICB,78039.2,NA,3406,NA,NA,NA,NA,NA
2016-06-01T00:00:00Z,East of England,Hertfordshire and West Essex ICB,136870.8,NA,4988,NA,NA,NA,NA,NA
2016-06-01T00:00:00Z,East of England,Mid and South Essex ICB,124529.2,NA,4539,NA,NA,NA,NA,NA
2016-06-01T00:00:00Z,East of England,Norfolk and Waveney ICB,103702.2,NA,4931,NA,NA,NA,NA,NA
2016-06-01T00:00:00Z,East of England,Suffolk and North East Essex ICB,90467.2,NA,3705,NA,NA,NA,NA,NA
2016-06-01T00:00:00Z,London,North Central London ICB,132052.6,NA,5206,NA,NA,NA,NA,NA
2016-06-01T00:00:00Z,London,North East London ICB,163337.6,NA,6900,NA,NA,NA,NA,NA
2016-06-01T00:00:00Z,London,North West London ICB,203505,NA,8291,NA,NA,NA,NA,NA
2016-06-01T00:00:00Z,London,South East London ICB,169704.2,NA,6413,NA,NA,NA,NA,NA
2016-06-01T00:00:00Z,London,South West London ICB,120774.2,NA,4974,NA,NA,NA,NA,NA
2016-06-01T00:00:00Z,Midlands,Birmingham and Solihull ICB,128541.8,NA,4629,NA,NA,NA,NA,NA
2016-06-01T00:00:00Z,Midlands,Black Country ICB,129884.2,NA,4290,NA,NA,NA,NA,NA
2016-06-01T00:00:00Z,Midlands,Coventry and Warwickshire ICB,90265.4,NA,2239,NA,NA,NA,NA,NA
2016-06-01T00:00:00Z,Midlands,Derby and Derbyshire ICB,98634.4,NA,3043,NA,NA,NA,NA,NA
2016-06-01T00:00:00Z,Midlands,Herefordshire and Worcestershire ICB,65917.8,NA,1981,NA,NA,NA,NA,NA
2016-06-01T00:00:00Z,Midlands,"Leicester, Leicestershire and Rutland ICB",99951.6,NA,3649,NA,NA,NA,NA,NA
2016-06-01T00:00:00Z,Midlands,Lincolnshire ICB,65250.6,NA,2527,NA,NA,NA,NA,NA
2016-06-01T00:00:00Z,Midlands,Northamptonshire ICB,61953.8,NA,3000,NA,NA,NA,NA,NA
2016-06-01T00:00:00Z,Midlands,Nottingham and Nottinghamshire ICB,122858.4,NA,3884,NA,NA,NA,NA,NA
2016-06-01T00:00:00Z,Midlands,"Shropshire, Telford and Wrekin ICB",43021.8,NA,1527,NA,NA,NA,NA,NA
2016-06-01T00:00:00Z,Midlands,Staffordshire and Stoke-on-Trent ICB,116325.8,NA,3127,NA,NA,NA,NA,NA
2016-06-01T00:00:00Z,North East and Yorkshire,Humber and North Yorkshire ICB,168771.2,NA,6061,NA,NA,NA,NA,NA
2016-06-01T00:00:00Z,North East and Yorkshire,North East and North Cumbria ICB,320309,NA,11813,NA,NA,NA,NA,NA
