"","DATE","SUB_ICB_CODE","SUB_ICB_ONS_CODE","ICB","PATIENT_TYPE","AGE_BAND","SEEN","POP","PERCENT_SEEN"
"540",2018-12-31,"05W","E38000175","STAFFORDSHIRE AND STOKE-ON-TRENT","Child","14",2180,2783,78.33
"541",2018-12-31,"05W","E38000175","STAFFORDSHIRE AND STOKE-ON-TRENT","Child","15",2087,2612,79.9
"542",2018-12-31,"05W","E38000175","STAFFORDSHIRE AND STOKE-ON-TRENT","Child","16",1787,2733,65.39
"543",2018-12-31,"05W","E38000175","STAFFORDSHIRE AND STOKE-ON-TRENT","Child","17",1645,2903,56.67
"544",2018-12-31,"05W","E38000175","STAFFORDSHIRE AND STOKE-ON-TRENT","Child","2",1542,3494,44.13
"545",2018-12-31,"05W","E38000175","STAFFORDSHIRE AND STOKE-ON-TRENT","Child","3",1739,3784,45.96
"546",2018-12-31,"05W","E38000175","STAFFORDSHIRE AND STOKE-ON-TRENT","Child","4",2051,3710,55.28
"547",2018-12-31,"05W","E38000175","STAFFORDSHIRE AND STOKE-ON-TRENT","Child","5",2248,3698,60.79
"548",2018-12-31,"05W","E38000175","STAFFORDSHIRE AND STOKE-ON-TRENT","Child","6",2461,3575,68.84
"549",2018-12-31,"05W","E38000175","STAFFORDSHIRE AND STOKE-ON-TRENT","Child","7",2569,3302,77.8
"550",2018-12-31,"05W","E38000175","STAFFORDSHIRE AND STOKE-ON-TRENT","Child","8",2516,3274,76.85
"551",2018-12-31,"05W","E38000175","STAFFORDSHIRE AND STOKE-ON-TRENT","Child","9",2448,3523,69.49
"552",2018-12-31,"05X","E38000183","SHROPSHIRE, TELFORD AND WREKIN","Adult","18+",81078,135627,59.78
"553",2018-12-31,"05X","E38000183","SHROPSHIRE, TELFORD AND WREKIN","Child","0",125,2096,5.96
"554",2018-12-31,"05X","E38000183","SHROPSHIRE, TELFORD AND WREKIN","Child","1",728,2138,34.05
"555",2018-12-31,"05X","E38000183","SHROPSHIRE, TELFORD AND WREKIN","Child","10",1842,2337,78.82
"556",2018-12-31,"05X","E38000183","SHROPSHIRE, TELFORD AND WREKIN","Child","11",1849,2241,82.51
"557",2018-12-31,"05X","E38000183","SHROPSHIRE, TELFORD AND WREKIN","Child","12",1801,2142,84.08
"558",2018-12-31,"05X","E38000183","SHROPSHIRE, TELFORD AND WREKIN","Child","13",1670,2082,80.21
